Tankno,DrainDay,Year,NoIntro,Barb,OneBarbLive,OneBarbLiveDW,TwoBarbLive,TwoBarbLiveDW,ThreeBarbLive,ThreeBarbLiveDW,OneBarbDead,OneBarbDeadDW,TwoBarbDead,TwoBarbDeadDW,ThreeBarbDead,ThreeBarbDeadDW,OneBarbSpine,OneBarbSpineDW,TwoBarbSpine,TwoBarbSpineDW,ThreeBarbSpine,ThreeBarbSpineDW,kink,kinkDW,EndLivingBiomass,EndDeadBiomass,EndTotalBiomass,StartLivingBiomass,TotalLive,TotalDead,TotalSpinesKinks,TotalBythoIndiv,TotalMoultsRound,Order
2,2,2021,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,2,2021,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
17,2,2021,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
5,16,2021,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
10,16,2021,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
4,16,2021,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
7,16,2021,1,2barb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,1
19,16,2021,1,2barb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,143,0,0,0,0,0,143,143,143,0,0,1,1,0,2
15,16,2021,1,2barb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,143,0,0,0,0,0,143,143,143,0,0,1,1,0,3
8,16,2021,1,2barb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,143,0,0,0,0,0,143,143,143,0,0,1,1,0,4
20,16,2021,1,3barb,0,0,6,1246.8,2,566.8,0,0,1,207.8,0,0,1,75.6,1,143,1,218.6,0,0,1813.6,645,2458.6,218.6,8,1,3,12,11,4
12,16,2021,1,3barb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,143,0,0,1,143,0,286,286,218.6,0,0,2,2,1,1
3,16,2021,1,3barb,0,0,3,623.4,2,566.8,0,0,0,0,0,0,2,151.2,0,0,1,218.6,1,143,1190.2,512.8,1703,218.6,5,0,4,9,6,2
14,16,2021,1,3barb,0,0,5,1039,1,283.4,0,0,0,0,0,0,1,75.6,1,143,2,437.2,0,0,1322.4,655.8,1978.2,218.6,6,0,4,10,9,3
1,16,2021,5,3barb,1,75.6,4,831.2,5,1417,0,0,1,207.8,0,0,8,604.8,2,286,1,218.6,0,0,2323.8,1317.2,3641,1093,10,1,11,22,11,4
6,16,2021,5,3barb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,143,3,655.8,0,0,0,798.8,798.8,1093,0,0,4,4,1,1
16,16,2021,5,3barb,0,0,3,623.4,1,283.4,0,0,0,0,1,283.4,0,0,5,715,0,0,0,0,906.8,998.4,1905.2,1093,4,1,5,10,8,3
21,16,2021,5,3barb,0,0,1,143,0,0,0,0,0,0,0,0,4,302.4,1,143,2,437.2,0,0,143,882.6,1025.6,1093,1,0,7,8,3,2
22,16,2021,10,3barb,1,75.6,1,143,0,0,0,0,0,0,0,0,9,680.4,3,429,2,437.2,2,286,218.6,1832.6,2051.2,2186,2,0,16,18,7,3
9,16,2021,10,3barb,0,0,3,623.4,2,566.8,3,226.8,0,0,0,0,1,75.6,1,143,4,874.4,0,0,1190.2,1319.8,2510,2186,5,3,6,14,5,2
11,16,2021,10,3barb,0,0,1,207.8,16,4534.4,0,0,0,0,0,0,25,1890,5,715,5,1093,2,286,4742.2,3984,8726.2,2186,17,0,37,54,24,4
18,16,2021,10,3barb,0,0,2,350.8,2,566.8,0,0,0,0,0,0,1,75.6,5,715,4,874.4,0,0,917.6,1665,2582.6,2186,4,0,10,14,8,1
11,2,2022,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,2,2022,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
18,16,2022,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1,16,2022,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
10,16,2022,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
8,16,2022,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
16,16,2022,1,2barb,4,302.4,0,0,3,850.2,1,75.6,0,0,0,0,1,75.6,0,0,1,218.6,0,0,1152.6,369.8,1522.4,143,7,1,2,10,6,2
6,16,2022,1,2barb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,1
4,16,2022,1,2barb,0,0,13,2701.4,3,850.2,0,0,1,207.8,0,0,1,75.6,1,143,1,218.6,0,0,3551.6,645,4196.6,143,16,1,3,20,19,4
17,16,2022,1,2barb,9,680.4,1,207.8,1,283.4,1,75.6,0,0,0,0,1,75.6,1,143,0,0,2,437.2,1171.6,731.4,1903,143,11,1,4,16,5,3
3,16,2022,5,2barb,6,453.6,6,1246.8,9,2550.6,1,75.6,2,415.6,0,0,7,529.2,3,429,2,437.2,4,874.4,4251,2761,7012,715,21,3,16,40,21,3
12,16,2022,5,2barb,0,0,8,1662.4,7,1983.8,0,0,4,831.2,2,566.8,16,1209.6,8,1144,2,437.2,5,1093,3646.2,5281.8,8928,715,15,6,31,52,30,4
19,16,2022,5,2barb,0,0,1,207.8,7,1983.8,0,0,0,0,0,0,16,1209.6,7,1001,2,437.2,6,1311.6,2191.6,3959.4,6151,715,8,0,31,39,16,2
5,16,2022,5,2barb,0,0,1,207.8,9,2550.6,0,0,0,0,0,0,12,907.2,5,715,1,218.6,5,1093,2758.4,2933.8,5692.2,715,10,0,23,33,14,1
14,16,2022,1,3barb,0,0,0,0,8,2267.2,1,75.6,0,0,3,850.2,0,0,3,429,1,218.6,5,1093,2267.2,2666.4,4933.6,218.6,8,4,9,21,15,3
15,16,2022,1,3barb,7,529.2,0,0,2,566.8,14,1058.4,0,0,4,1133.6,1,75.6,0,0,1,218.6,0,0,1096,2486.2,3582.2,218.6,9,18,2,29,12,4
