Tank,sample-id,Experiment,Day,Year,ExpYear,sample_date,SampleEvent,treatment_cellsperml,observed_treatment_cellperml,Species,total_density,relative_inoculant_density_percent,TempC,Cond_mS.cm,Salinity_PSU,pH,Turbidity_FNU,DO_mg.L,TChlor_ug.L
1,D0MTP1Exp12021,1,0,2021,12021,6/14/2021,Day0,30,31.8594,Haematococcus pluvialis,725.6863332,4.390243903,18.804,183.2,0.09,7.78,16.4,9.2,6.26
1,D7MTP1Exp12021,1,7,2021,12021,6/21/2021,Week1,30,0,Haematococcus pluvialis,860.4761026,0,19.29,183.9,0.09,8.1,6.13,9.03,7.99
1,D14MTP1Exp12021,1,14,2021,12021,6/28/2021,Week2,30,0,Haematococcus pluvialis,2754.277243,0,19.319,186.2,0.09,8.22,5.86,9.13,8.44
1,D22MTP1Exp12021,1,22,2021,12021,7/6/2021,Week3,30,0,Haematococcus pluvialis,5105.502176,0,19.271,186.9,0.09,8.05,4.66,9.03,11.7
1,D28MTP1Exp12021,1,28,2021,12021,7/12/2021,Week4,30,0,Haematococcus pluvialis,1800.748696,0,19.149,187.7,0.09,8.19,5,9.03,10.25
2,D0MTP2Exp12021,1,0,2021,12021,6/14/2021,Day0,10,7.53177305,Haematococcus pluvialis,3888.905485,0.193673338,18.873,184.2,0.09,7.79,16.35,9.21,5.87
2,D7MTP2Exp12021,1,7,2021,12021,6/21/2021,Week1,10,0,Haematococcus pluvialis,1112.881002,0,19.484,182.7,0.09,8.08,6.32,8.99,8.8
2,D14MTP2Exp12021,1,14,2021,12021,6/28/2021,Week2,10,0,Haematococcus pluvialis,1939.99496,0,19.427,185.2,0.09,8.22,11.07,9.11,8.52
2,D22MTP2Exp12021,1,22,2021,12021,7/6/2021,Week3,10,0,Haematococcus pluvialis,4585.136399,0,19.496,186.7,0.09,8.12,4.93,8.95,9.83
2,D28MTP2Exp12021,1,28,2021,12021,7/12/2021,Week4,10,1.423565684,Haematococcus pluvialis,263.3596514,0.540540541,19.287,188.9,0.09,8.17,5.42,9.04,6.95
3,D0MTP3Exp12021,1,0,2021,12021,6/14/2021,Day0,0,0,Haematococcus pluvialis,455.1342857,0,18.7,182.6,0.09,7.77,14.5,9.19,5.38
3,D7MTP3Exp12021,1,7,2021,12021,6/21/2021,Week1,0,0,Haematococcus pluvialis,1591.430899,0,19.453,182.8,0.09,8.15,6.79,8.93,6.87
3,D14MTP3Exp12021,1,14,2021,12021,6/28/2021,Week2,0,0,Haematococcus pluvialis,1765.050093,0,19.45,184.5,0.09,8.14,6.85,9.1,8.49
3,D22MTP3Exp12021,1,22,2021,12021,7/6/2021,Week3,0,0,Haematococcus pluvialis,4550.495307,0,19.465,185.4,0.09,8.1,6.7,8.98,9.15
3,D28MTP3Exp12021,1,28,2021,12021,7/12/2021,Week4,0,0,Haematococcus pluvialis,1293.605268,0,19.237,187.3,0.09,8.21,16.35,9.02,23.54
