Day,Tankno,Experiment,Year,Diluted,DilutionFactor,Ct,CtNum,Replicate,Run,BaselineStart,BaselineEnd,Threshold,Conversion
2,17,1,2022,N,1,NA,51,1,1.8.24,8,20,0.0482,-2.25
2,17,1,2022,N,1,NA,51,2,1.8.24,8,20,0.0482,-2.25
2,17,1,2022,N,1,NA,51,3,1.8.24,8,20,0.0482,-2.25
2,17,1,2022,N,1,NA,51,4,1.8.24,8,20,0.0482,-2.25
2,17,1,2022,N,1,NA,51,5,1.8.24,8,20,0.0482,-2.25
2,17,1,2022,N,1,NA,51,6,1.8.24,8,20,0.0482,-2.25
2,17,1,2022,N,1,NA,51,7,1.8.24,8,20,0.0482,-2.25
2,17,1,2022,N,1,NA,51,8,1.8.24,8,20,0.0482,-2.25
2,19,1,2022,N,1,NA,51,1,1.8.24,8,20,0.0482,-2.25
2,19,1,2022,N,1,NA,51,2,1.8.24,8,20,0.0482,-2.25
2,19,1,2022,N,1,NA,51,3,1.8.24,8,20,0.0482,-2.25
2,19,1,2022,N,1,NA,51,4,1.8.24,8,20,0.0482,-2.25
2,19,1,2022,N,1,NA,51,5,1.8.24,8,20,0.0482,-2.25
2,19,1,2022,N,1,NA,51,6,1.8.24,8,20,0.0482,-2.25
2,19,1,2022,N,1,NA,51,7,1.8.24,8,20,0.0482,-2.25
2,19,1,2022,N,1,NA,51,8,1.8.24,8,20,0.0482,-2.25
2,20,1,2022,N,1,NA,51,1,1.8.24,8,20,0.0482,-2.25
2,20,1,2022,N,1,NA,51,2,1.8.24,8,20,0.0482,-2.25
2,20,1,2022,N,1,NA,51,3,1.8.24,8,20,0.0482,-2.25
2,20,1,2022,N,1,NA,51,4,1.8.24,8,20,0.0482,-2.25
2,20,1,2022,N,1,NA,51,5,1.8.24,8,20,0.0482,-2.25
2,20,1,2022,N,1,NA,51,6,1.8.24,8,20,0.0482,-2.25
2,20,1,2022,N,1,NA,51,7,1.8.24,8,20,0.0482,-2.25
2,20,1,2022,N,1,NA,51,8,1.8.24,8,20,0.0482,-2.25
4,10,1,2022,N,1,NA,51,1,1.8.24,8,20,0.0482,-2.25
4,10,1,2022,N,1,NA,51,2,1.8.24,8,20,0.0482,-2.25
4,10,1,2022,N,1,NA,51,3,1.8.24,8,20,0.0482,-2.25
4,10,1,2022,N,1,NA,51,4,1.8.24,8,20,0.0482,-2.25
4,10,1,2022,N,1,NA,51,5,1.8.24,8,20,0.0482,-2.25
4,10,1,2022,N,1,NA,51,6,1.8.24,8,20,0.0482,-2.25
4,10,1,2022,N,1,NA,51,7,1.8.24,8,20,0.0482,-2.25
4,10,1,2022,N,1,NA,51,8,1.8.24,8,20,0.0482,-2.25
4,6,1,2022,N,1,NA,51,1,1.8.24,8,20,0.0482,-2.25
4,6,1,2022,N,1,NA,51,2,1.8.24,8,20,0.0482,-2.25
4,6,1,2022,N,1,NA,51,3,1.8.24,8,20,0.0482,-2.25
4,6,1,2022,N,1,NA,51,4,1.8.24,8,20,0.0482,-2.25
