sample.id,Tank,Experiment,Day,Year,ExpYear,sample_date,SampleEvent,treatment_cellsperml,observed_treatment_cellperml,Species,total_density,relative_inoculant_density_percent,d__Eukaryota.p__Euglenozoa.c__Euglenida.o__Euglenophyceae.f__Euglenaceae.g__Trachelomonas.s__Trachelomonas_sp.,d__Eukaryota.p__Ochrophyta.c__Chrysophyceae.o__Synurales.f__Synurales.g__Synura.__,d__Eukaryota.p__Ochrophyta.c__Chrysophyceae.o__Synurales.f__Synurales.g__Mallomonas.s__Mallomonas_caudata,d__Eukaryota.p__Chlorophyta.c__Chlorophyceae.o__Chlorophyceae.f__Chlorophyceae.g__Chlorophyceae.s__Haematococcus_lacustris,d__Eukaryota.p__Euglenozoa.c__Euglenida.o__Euglenophyceae.f__Euglenaceae.g__Trachelomonas.__
D0MTP10Exp12021,10,1,0,2021,12021,6/14/2021,Day0,100,66.69439614,Haematococcus pluvialis,2483.083672,2.685950413,0,0,0,84,0
D0MTP10Exp12022,10,1,0,2022,12022,6/1/2022,Day0,10,16.8568254,Chrysosphaerella sp.,287.1403124,5.870588235,0,71,1,0,7
D0MTP10Exp22021,10,2,0,2021,22021,7/26/2021,Day0,100,107.4878543,Trachelomonas abrupta,4355.407854,2.467917078,2,0,6,0,0
D0MTP10Exp32022,10,3,0,2022,32022,9/19/2022,Day0,10,21.94173554,Chrysosphaerella sp.,1215.890145,1.804582069,3,17,11,0,0
D0MTP11Exp12021,11,1,0,2021,12021,6/14/2021,Day0,30,5.411363057,Haematococcus pluvialis,365.2670063,1.481481482,3,0,12,28,0
D0MTP11Exp12022,11,1,0,2022,12022,6/1/2022,Day0,100,59.1161829,Chrysosphaerella sp.,578.7783962,10.2139581,3,143,4,0,4
D0MTP11Exp22021,11,2,0,2021,22021,7/26/2021,Day0,30,34.96230453,Trachelomonas abrupta,7604.301234,0.459770115,1,0,4,0,0
D0MTP12Exp12021,12,1,0,2021,12021,6/14/2021,Day0,10,6.769593625,Haematococcus pluvialis,302.9393147,2.234636872,2,0,9,19,0
D0MTP12Exp12022,12,1,0,2022,12022,6/1/2022,Day0,1,13.03042945,Chrysosphaerella sp.,734.5773246,1.773867639,2,69,5,0,2
D0MTP12Exp22021,12,2,0,2021,22021,7/26/2021,Day0,10,8.704754098,Trachelomonas abrupta,6641.727377,0.131061599,2,0,1,0,0
D0MTP12Exp32022,12,3,0,2022,32022,9/19/2022,Day0,30,38.61745455,Chrysosphaerella sp.,1335.396278,2.891834819,2,85,11,0,0
D0MTP13Exp12021,13,1,0,2021,12021,6/14/2021,Day0,0,2.9296,Haematococcus pluvialis,278.312,1.052631579,0,0,18,0,0
D0MTP13Exp12022,13,1,0,2022,12022,6/1/2022,Day0,30,12.71832335,Chrysosphaerella sp.,482.5242904,2.635789245,1,104,2,0,6
D0MTP13Exp22021,13,2,0,2021,22021,7/26/2021,Day0,0,0,Trachelomonas abrupta,3947.605984,0,4,0,4,0,0
D0MTP13Exp32022,13,3,0,2022,32022,9/19/2022,Day0,1,4.230996016,Chrysosphaerella sp.,1390.771176,0.304219421,0,5,18,0,0
D0MTP14Exp12021,14,1,0,2021,12021,6/14/2021,Day0,10,21.12225414,Haematococcus pluvialis,537.444022,3.930131005,6,12,21,10,0
D0MTP14Exp12022,14,1,0,2022,12022,6/1/2022,Day0,10,30.10768041,Chrysosphaerella sp.,812.9073711,3.703703704,0,132,2,0,2
D0MTP14Exp22021,14,2,0,2021,22021,7/26/2021,Day0,10,4.29951417,Trachelomonas abrupta,4897.14664,0.087796313,5,0,3,0,0
D0MTP14Exp32022,14,3,0,2022,32022,9/19/2022,Day0,100,87.04754098,Chrysosphaerella sp.,1174.772511,7.409735944,0,127,10,0,0
D0MTP15Exp12021,15,1,0,2021,12021,6/14/2021,Day0,1,5.689178571,Haematococcus pluvialis,407.7244643,1.395348837,0,0,14,0,0
D0MTP15Exp12022,15,1,0,2022,12022,6/1/2022,Day0,0,4.230996016,Chrysosphaerella sp.,566.9534661,0.746268657,0,50,2,0,3
D0MTP15Exp22021,15,2,0,2021,22021,7/26/2021,Day0,1,4.197549407,Trachelomonas abrupta,4776.811226,0.087873462,4,0,9,0,0
D0MTP15Exp32022,15,3,0,2022,32022,9/19/2022,Day0,30,35.39933333,Chrysosphaerella sp.,1520.025919,2.328863797,1,73,9,0,0
D0MTP16Exp12021,16,1,0,2021,12021,6/14/2021,Day0,100,18.6040292,Haematococcus pluvialis,209.2953285,8.888888889,1,2,15,43,0
D0MTP16Exp12022,16,1,0,2022,12022,6/1/2022,Day0,100,108.5869121,Chrysosphaerella sp.,620.1504487,17.50976917,0,140,3,0,2
D0MTP16Exp22021,16,2,0,2021,22021,7/26/2021,Day0,100,70.79866667,Trachelomonas abrupta,3681.530667,1.923076923,0,0,7,0,0
D0MTP16Exp32022,16,3,0,2022,32022,9/19/2022,Day0,1,8.63398374,Chrysosphaerella sp.,1041.911822,0.828667413,1,4,12,0,0
D0MTP17Exp12021,17,1,0,2021,12021,6/14/2021,Day0,1,3.336062827,Haematococcus pluvialis,633.8519371,0.52631579,1,0,16,1,0
D0MTP17Exp12022,17,1,0,2022,12022,6/1/2022,Day0,1,4.370288066,Chrysosphaerella sp.,705.8814669,0.61912492,1,70,1,0,6
D0MTP17Exp22021,17,2,0,2021,22021,7/26/2021,Day0,1,0,Trachelomonas abrupta,4635.69693,0,3,0,7,0,0
D0MTP17Exp32022,17,3,0,2022,32022,9/19/2022,Day0,10,17.37390593,Chrysosphaerella sp.,802.5954817,2.164715143,0,37,21,0,0
D0MTP18Exp12021,18,1,0,2021,12021,6/14/2021,Day0,100,35.17385987,Haematococcus pluvialis,304.389172,11.55555556,2,0,16,42,0
D0MTP18Exp12022,18,1,0,2022,12022,6/1/2022,Day0,1,0,Chrysosphaerella sp.,374.0577329,0,1,58,2,0,1
D0MTP18Exp22021,18,2,0,2021,22021,7/26/2021,Day0,100,71.35833992,Trachelomonas abrupta,5561.752965,1.283018868,1,0,6,0,0
D0MTP18Exp32022,18,3,0,2022,32022,9/19/2022,Day0,0,0,Chrysosphaerella sp.,1204.440732,0,1,2,15,0,0
D0MTP19Exp12021,19,1,0,2021,12021,6/14/2021,Day0,30,25.36071642,Haematococcus pluvialis,361.390209,7.017543859,2,0,5,26,0
D0MTP19Exp12022,19,1,0,2022,12022,6/1/2022,Day0,10,17.4095082,Chrysosphaerella sp.,821.7804982,2.11851075,1,61,4,0,2
