sample-id,d__Eukaryota;p__Euglenozoa;c__Euglenida;o__Euglenophyceae;f__Euglenaceae;g__Trachelomonas;s__Trachelomonas_sp.,d__Eukaryota;p__Ochrophyta;c__Chrysophyceae;o__Synurales;f__Synurales;g__Synura;__,d__Eukaryota;p__Ochrophyta;c__Chrysophyceae;o__Synurales;f__Synurales;g__Mallomonas;s__Mallomonas_caudata,d__Eukaryota;p__Chlorophyta;c__Chlorophyceae;o__Chlorophyceae;f__Chlorophyceae;g__Chlorophyceae;s__Haematococcus_lacustris,d__Eukaryota;p__Euglenozoa;c__Euglenida;o__Euglenophyceae;f__Euglenaceae;g__Trachelomonas;__
D0MTP10Exp12021,0,0,0,84,0
D0MTP10Exp12022,0,71,1,0,7
D0MTP10Exp22021,2,0,6,0,0
D0MTP10Exp32022,3,17,11,0,0
D0MTP11Exp12021,3,0,12,28,0
D0MTP11Exp12022,3,143,4,0,4
D0MTP11Exp22021,1,0,4,0,0
D0MTP12Exp12021,2,0,9,19,0
D0MTP12Exp12022,2,69,5,0,2
D0MTP12Exp22021,2,0,1,0,0
D0MTP12Exp32022,2,85,11,0,0
D0MTP13Exp12021,0,0,18,0,0
D0MTP13Exp12022,1,104,2,0,6
D0MTP13Exp22021,4,0,4,0,0
D0MTP13Exp32022,0,5,18,0,0
D0MTP14Exp12021,6,12,21,10,0
D0MTP14Exp12022,0,132,2,0,2
D0MTP14Exp22021,5,0,3,0,0
D0MTP14Exp32022,0,127,10,0,0
D0MTP15Exp12021,0,0,14,0,0
D0MTP15Exp12022,0,50,2,0,3
D0MTP15Exp22021,4,0,9,0,0
D0MTP15Exp32022,1,73,9,0,0
D0MTP16Exp12021,1,2,15,43,0
D0MTP16Exp12022,0,140,3,0,2
D0MTP16Exp22021,0,0,7,0,0
D0MTP16Exp32022,1,4,12,0,0
D0MTP17Exp12021,1,0,16,1,0
D0MTP17Exp12022,1,70,1,0,6
D0MTP17Exp22021,3,0,7,0,0
D0MTP17Exp32022,0,37,21,0,0
D0MTP18Exp12021,2,0,16,42,0
D0MTP18Exp12022,1,58,2,0,1
D0MTP18Exp22021,1,0,6,0,0
D0MTP18Exp32022,1,2,15,0,0
D0MTP19Exp12021,2,0,5,26,0
D0MTP19Exp12022,1,61,4,0,2
D0MTP19Exp22021,1,0,2,0,0
D0MTP19Exp32022,0,80,6,0,0
