"","Day","TempC","CondmScm","pH","TurbidityFNU","DOmgL","TotalChlorugL","DNACopiesperuLL","NoIntro","OneBarbLiveBarren","OneBarbLiveBarrenDW","TwoBarbLiveGravid","TwoBarbLiveGravidDW","TwoBarbLiveBarren","TwoBarbLiveBarrenDW","ThreeBarbLiveGravid","ThreeBarbLiveGravidDW","OneBarbDeadBarren","OneBarbDeadDWBarren","TwoBarbDeadGravid","TwoBarbDeadGravidDW","ThreeBarbDeadGravid","ThreeBarbDeadGravidDW","OneBarbSpine","OneBarbSpineDW","TwoBarbSpine","TwoBarbSpineDW","ThreeBarbSpine","ThreeBarbSpineDW","kink","kinkDW","EndLivingBiomass","EndDeadBiomass","EndTotalBiomass","StartLivingBiomass","TotalLive","TotalDead","TotalGravidDead","GravidDeadBiomass","TotalBarrenLive","BarrenLiveBiomass"
"Day",1,-0.140047101849601,-0.0522579336739529,0.750814034086844,-0.5742011746869,0.105048436386598,-0.197679164018811,-0.0339663850708504,-0.0554892487888534,0.123598993303669,0.123598993303669,0.0544662495532757,0.0544662495532757,-0.0856197550964217,-0.0856197550964217,0.125981750358566,0.125981750358566,0.0647310860695031,0.0647310860695031,0.0857934939492864,0.0857934939492864,0.0867765306421373,0.0867765306421373,0.0776092067688072,0.0776092067688072,0.0880484943115377,0.0880484943115377,-0.0059269501950838,-0.0059269501950838,0.153713200529952,0.161962303927148,0.144502458743404,0.134145894954919,0.148249386040628,-0.0738166460322771,0.165509469007558,0.0975949316339029,0.114641289981731,0.114641289981731,0.113355710872066,0.102697776535191
"TempC",-0.140047101849601,1,-0.161773622207579,-0.281357873790092,0.283162823267095,0.288212660447636,0.148880454339305,-0.0352343086478884,0.110447746118342,0.143092005062556,0.143092005062556,0.130059442114384,0.130059442114384,-0.0324920275473658,-0.0324920275473658,0.226682197035579,0.226682197035579,-0.0408329313794596,-0.0408329313794596,0.0983495734169069,0.0983495734169069,-0.111063571226017,-0.111063571226017,0.241507418001715,0.241507418001715,-0.01058402553592,-0.01058402553592,0.101800990760976,0.101800990760976,0.0588163827222327,0.0513670269881995,0.266171365947358,0.111161786695134,0.200134421037128,0.0959905447596495,0.285411528032835,-0.0338670676076779,-0.00732689337127401,-0.00732689337127401,0.13911279642734,0.133262398562783
"CondmScm",-0.0522579336739529,-0.161773622207579,1,0.305344079266929,-0.750141137491626,-0.424956325454339,-0.948623497027216,0.0937115639925181,0.213036365297745,-0.469833479969525,-0.469833479969525,-0.224381387302923,-0.224381387302923,0.310057441831998,0.310057441831998,-0.411660333043342,-0.411660333043342,-0.247423468471782,-0.247423468471782,-0.337608527362496,-0.337608527362496,-0.338662492012084,-0.338662492012084,-0.232720185302124,-0.232720185302124,-0.310905391564387,-0.310905391564387,0.0409721470732504,0.0409721470732504,-0.563975274561411,-0.598408233076225,-0.495372176392885,-0.468698843392614,-0.512134791253057,0.273855279445544,-0.579974085165549,-0.377801628114203,-0.448095939759105,-0.448095939759105,-0.427825578354892,-0.383513763404504
"pH",0.750814034086844,-0.281357873790092,0.305344079266929,1,-0.715862523286971,0.080375444506734,-0.478473692017336,0.249654203125188,0.0474608425614038,-0.180726920727114,-0.180726920727114,-0.0428489861210941,-0.0428489861210941,-0.0658389055291352,-0.0658389055291352,-0.0172153643340395,-0.0172153643340395,-0.0943342916819038,-0.0943342916819038,-0.0819795213354141,-0.0819795213354141,-0.152274105795699,-0.152274105795699,-0.0444889588069467,-0.0444889588069467,-0.0868711841238451,-0.0868711841238451,0.0348724252887323,0.0348724252887323,-0.114983870257421,-0.127682322620771,-0.0581449234923851,-0.117082793587767,-0.0932226939249241,0.0607077898727524,-0.109060862511816,-0.137205267607698,-0.154849541510904,-0.154849541510904,-0.190911055182957,-0.196713835999172
"TurbidityFNU",-0.5742011746869,0.283162823267095,-0.750141137491626,-0.715862523286971,1,0.301239262397493,0.891653691913431,-0.213653841780497,-0.153408317684413,0.352406386729783,0.352406386729783,0.157234954935396,0.157234954935396,-0.245427300003171,-0.245427300003171,0.350369024141531,0.350369024141532,0.187021612925111,0.187021612925111,0.259722080611359,0.259722080611359,0.249229505847304,0.249229505847304,0.220340775239202,0.220340775239202,0.246433291251485,0.246433291251485,-0.0169914646427696,-0.0169914646427696,0.439276991441473,0.463322643865576,0.401072572016651,0.378889758087934,0.414331079530417,-0.202326164296291,0.458277429776902,0.284966180485035,0.33728953565537,0.33728953565537,0.319067012650412,0.284242437009551
"DOmgL",0.105048436386598,0.288212660447636,-0.424956325454339,0.080375444506734,0.301239262397493,1,0.324410301497574,0.0826637226996056,-0.191261934269903,0.190685953093508,0.190685953093508,0.146947587488693,0.146947587488693,-0.446994304658112,-0.446994304658112,0.249362052782129,0.249362052782129,0.217294259756997,0.217294259756997,0.193231689447868,0.193231689447868,0.191012147845166,0.191012147845166,0.120182865787923,0.120182865787923,0.147465134977872,0.147465134977872,-0.0401363326158026,-0.0401363326158026,0.28105785711562,0.296721272467314,0.285198942443888,0.246633142920476,0.282468763500574,-0.223847983116205,0.30629068362315,0.272407278590375,0.254614033812112,0.254614033812112,0.127932252883367,0.070307453472653
"TotalChlorugL",-0.197679164018811,0.148880454339305,-0.948623497027216,-0.478473692017336,0.891653691913431,0.324410301497574,1,-0.149195631891574,-0.182612890023164,0.447743106309101,0.447743106309101,0.203258558170304,0.203258558170304,-0.291987263659648,-0.291987263659648,0.433550162473391,0.433550162473391,0.240093071457748,0.240093071457748,0.314968241655756,0.314968241655756,0.313089323605586,0.313089323605586,0.264391956035312,0.264391956035312,0.301685870517557,0.301685870517557,-0.0147224120367472,-0.0147224120367472,0.54625279958198,0.577589727566519,0.50205443956002,0.468985549871544,0.515823430289266,-0.241781704996927,0.576875072711127,0.35863305087198,0.41616477001748,0.41616477001748,0.408207274949686,0.366409918072585
"DNACopiesperuLL",-0.0339663850708504,-0.0352343086478884,0.0937115639925181,0.249654203125188,-0.213653841780497,0.0826637226996056,-0.149195631891574,1,0.144491258402333,-0.0337601084155788,-0.0337601084155788,-0.0280269573632035,-0.0280269573632035,0.207637483887821,0.207637483887821,-0.027229629078901,-0.027229629078901,-0.0219134249361654,-0.0219134249361654,-0.0302148238780558,-0.0302148238780558,-0.0263952564504915,-0.0263952564504915,-0.0413618163179186,-0.0413618163179186,0.0734283134634255,0.0734283134634255,0.119959323270858,0.119959323270858,-0.0494359955320404,-0.0470882438769002,-0.0339240301126427,0.00350135205356256,-0.0159399504952949,0.149503485822975,-0.0376191634826908,-0.0325263419243553,-0.0376307568162429,-0.0376307568162429,-0.00724687423649427,0.0164304847483906
"NoIntro",-0.0554892487888534,0.110447746118342,0.213036365297745,0.0474608425614038,-0.153408317684413,-0.191261934269903,-0.182612890023164,0.144491258402333,1,-0.217619744896626,-0.217619744896626,-0.00848489161933749,-0.00848489161933749,0.503915438550083,0.503915438550083,0.368380016720857,0.368380016720857,-0.101176622072986,-0.101176622072986,0.093135871472004,0.093135871472004,-0.137591298623831,-0.137591298623831,0.534146775995847,0.534146775995847,0.48119277184251,0.48119277184251,0.765940552040673,0.765940552040673,0.217508238843385,0.182078863677495,0.291919155262695,0.50513659905116,0.426195621689609,0.984984291407659,0.194021538173416,-0.0884712624498193,-0.0286603191307559,-0.0286603191307559,-0.154335669756828,-0.0959548994940504
"OneBarbLiveBarren",0.123598993303669,0.143092005062556,-0.469833479969525,-0.180726920727114,0.352406386729783,0.190685953093508,0.447743106309101,-0.0337601084155788,-0.217619744896626,1,1,-0.0414859994429928,-0.0414859994429928,-0.109437828461403,-0.109437828461403,-0.00829002545096519,-0.00829002545096519,0.535101231451455,0.535101231451455,-0.02132095245191,-0.02132095245191,0.227728180395554,0.227728180395554,-0.115656437628409,-0.115656437628409,-0.256211969130823,-0.256211969130823,-0.204194568675145,-0.204194568675145,-0.00608674651677323,0.00463773662227351,0.0989966604407204,-0.041112331574448,0.0295817686802916,-0.230307882003031,0.375850736710313,0.461351837099641,0.136181891158617,0.136181891158617,0.991857327743066,0.971055810075221
