"","Day","Tankno","Year","DNACopiesperuLL"
"1",2,1,2021,0
"2",3,1,2021,0.00984080138940997
"3",4,1,2021,0
"4",5,1,2021,26.9272813243594
"5",6,1,2021,1.04173738444771
"6",7,1,2021,0
"7",16,1,2021,0
"8",2,2,2021,0
"9",2,3,2021,0
"10",3,3,2021,0
"11",4,3,2021,0.0140360244307116
"12",5,3,2021,0
"13",6,3,2021,0
"14",7,3,2021,2.02368273406028
"15",16,3,2021,0.0082625006033692
"16",2,4,2021,0
"17",3,4,2021,0
"18",4,4,2021,0
"19",5,4,2021,0
"20",6,4,2021,0
"21",7,4,2021,0
"22",16,4,2021,0
"23",2,5,2021,0
"24",3,5,2021,0
"25",4,5,2021,0
"26",5,5,2021,0
"27",6,5,2021,0
"28",7,5,2021,0
"29",16,5,2021,0
"30",2,6,2021,0
"31",3,6,2021,0
"32",4,6,2021,0
"33",5,6,2021,25.5582191007386
"34",6,6,2021,0
"35",7,6,2021,0.010275707870609
"36",16,6,2021,0
"37",2,7,2021,0
"38",3,7,2021,0
"39",4,7,2021,0
"40",5,7,2021,0
"41",6,7,2021,0
"42",7,7,2021,0
"43",16,7,2021,0
"44",2,8,2021,0
"45",3,8,2021,0
"46",4,8,2021,0
"47",5,8,2021,0
"48",6,8,2021,0
"49",7,8,2021,0
"50",16,8,2021,0
"51",2,9,2021,0
"52",3,9,2021,1.61861024300783
"53",4,9,2021,0
"54",5,9,2021,0.224914038358842
"55",6,9,2021,0
"56",7,9,2021,0.660593921840067
"57",16,9,2021,0
"58",2,10,2021,0
"59",3,10,2021,0
"60",4,10,2021,0
"61",5,10,2021,0
"62",6,10,2021,0
"63",7,10,2021,0
"64",16,10,2021,4.94553294871249
"65",2,11,2021,0
"66",3,11,2021,0.00536708671315779
"67",4,11,2021,0.00911526472910372
"68",5,11,2021,8.48970918258363
"69",6,11,2021,0
"70",7,11,2021,0
"71",16,11,2021,11.9391139379273
"72",2,12,2021,0
"73",3,12,2021,0.00179117792328619
"74",4,12,2021,0
"75",5,12,2021,0
"76",6,12,2021,0
"77",7,12,2021,0
"78",16,12,2021,3.74366986769126
"79",2,13,2021,0
"80",2,14,2021,0
"81",3,14,2021,0
"82",4,14,2021,0.0133536892852918
"83",5,14,2021,0.00128419906567628
"84",6,14,2021,0.0258203198818961
"85",7,14,2021,0
"86",16,14,2021,3.22069837247915
"87",2,15,2021,0
"88",3,15,2021,0.0222729207307933
"89",4,15,2021,0.00315029099232529
"90",5,15,2021,11.7363225553605
"91",6,15,2021,0
"92",7,15,2021,0.0118637260475795
"93",16,15,2021,0.0198206509467838
"94",2,16,2021,0
"95",3,16,2021,0.00564498537918397
"96",4,16,2021,15.1772740900767
"97",5,16,2021,2.86212738214658
"98",6,16,2021,0.0640912135094259
"99",7,16,2021,0
"100",16,16,2021,0
"101",2,17,2021,0
"102",2,18,2021,0
"103",3,18,2021,0
"104",4,18,2021,1.70538850701177
"105",5,18,2021,3399.14716487638
"106",6,18,2021,0.0152828891026003
"107",7,18,2021,15.1536398451495
"108",16,18,2021,0.654863659337222
"109",2,19,2021,0
"110",3,19,2021,0.0867455219276959
"111",4,19,2021,0.0039033639894679
"112",5,19,2021,0
"113",6,19,2021,0
"114",7,19,2021,0
"115",2,20,2021,0
"116",3,20,2021,0.0556264431654185
"117",4,20,2021,0
"118",5,20,2021,0.936687920480174
"119",6,20,2021,0
"120",7,20,2021,0
"121",16,20,2021,2.16617977989987
"122",2,21,2021,0
"123",3,21,2021,0
"124",4,21,2021,0.0120505863362601
"125",5,21,2021,0
"126",6,21,2021,0.0502534719755257
"127",7,21,2021,0
"128",16,21,2021,0
"129",2,22,2021,0
"130",3,22,2021,0
"131",4,22,2021,0
"132",5,22,2021,0
"133",6,22,2021,5.16708616815299
"134",7,22,2021,5.36353275073471
"135",16,22,2021,0.00493569725577585
"136",2,1,2022,0
"137",4,1,2022,0.587682109752868
"138",7,1,2022,0
"139",10,1,2022,0
"140",14,1,2022,0
"141",16,1,2022,0
"142",2,2,2022,0
"143",4,2,2022,0
"144",7,2,2022,0
"145",10,2,2022,0
"146",14,2,2022,17.2476491964712
"147",16,2,2022,0
"148",2,3,2022,0
"149",4,3,2022,0.00940820040746522
"150",7,3,2022,0.0023733991506313
"151",10,3,2022,0.00285021849189842
"152",14,3,2022,1.16978071331101
"153",16,3,2022,2.39716281132851
"154",2,4,2022,0
"155",4,4,2022,0
"156",7,4,2022,0.0259300709689971
"157",10,4,2022,0
"158",14,4,2022,0
"159",16,4,2022,1.87530064159831
"160",2,5,2022,0
"161",4,5,2022,0
"162",7,5,2022,0.0425857417273854
"163",10,5,2022,0
"164",14,5,2022,6.63659545920512
"165",16,5,2022,0
"166",4,6,2022,0.0018821380646045
"167",7,6,2022,0
"168",10,6,2022,0.0166966597205184
"169",14,6,2022,0
"170",16,6,2022,0
"171",2,7,2022,0
"172",4,7,2022,0
"173",7,7,2022,1.3654468727723
"174",10,7,2022,0
"175",14,7,2022,5.79214143098587
"176",16,7,2022,0
"177",2,8,2022,0
"178",4,8,2022,0
"179",7,8,2022,0
"180",10,8,2022,0
"181",14,8,2022,0
"182",16,8,2022,0
"183",2,9,2022,0
"184",4,9,2022,2.52080171489869
"185",7,9,2022,0.0112289689931808
"186",10,9,2022,0
"187",14,9,2022,6.25494390819619
"188",16,9,2022,1.47496894611807
"189",2,10,2022,0
"190",4,10,2022,0
"191",7,10,2022,0
"192",10,10,2022,0
"193",14,10,2022,0
"194",16,10,2022,0
"195",1,11,2022,0
"196",2,12,2022,0
"197",4,12,2022,0
"198",7,12,2022,0
"199",10,12,2022,0.00628063690542229
"200",14,12,2022,0.0187639008492673
"201",16,12,2022,0
"202",4,13,2022,0
"203",7,13,2022,0.00397165882425001
"204",10,13,2022,2.17572533490875
"205",14,13,2022,0.0672405444702633
"206",16,13,2022,6.82667523804666
"207",2,14,2022,0
"208",4,14,2022,0
"209",7,14,2022,0
"210",10,14,2022,0.0187245003265828
"211",14,14,2022,0.00139735874055393
"212",16,14,2022,0.663095374741036
"213",2,15,2022,0
"214",4,15,2022,0
"215",7,15,2022,0
"216",10,15,2022,0
"217",14,15,2022,0.0374043040090922
"218",16,15,2022,0
"219",4,16,2022,0
"220",7,16,2022,0
"221",10,16,2022,0
"222",14,16,2022,0.0559524016231917
"223",16,16,2022,0
"224",2,17,2022,0
"225",4,17,2022,0
"226",7,17,2022,0
"227",10,17,2022,0
"228",14,17,2022,0
"229",16,17,2022,0
"230",2,18,2022,0
"231",4,18,2022,0
"232",7,18,2022,0
"233",10,18,2022,0
"234",14,18,2022,0
"235",16,18,2022,0
"236",2,19,2022,0
"237",4,19,2022,0
"238",7,19,2022,0
"239",10,19,2022,0
"240",14,19,2022,0.987284943319614
"241",16,19,2022,0
"242",2,20,2022,0
"243",4,20,2022,0
"244",7,20,2022,1.33351508538341
"245",10,20,2022,0
"246",14,20,2022,0
"247",16,20,2022,2.21794428664765
"248",2,21,2022,0
"249",4,21,2022,0
"250",7,21,2022,6.95809544974701
"251",10,21,2022,0
"252",14,21,2022,0
"253",16,21,2022,0.0318178545510398
"254",1,22,2022,0
