Day,Tankno,Experiment,Year,Diluted,DilutionFactor,Ct,Replicate,Run,Conversion,VolumeFilteredL
2,1,3,2021,Y,1,NA,1,11.29.23,0.86,1
2,1,3,2021,Y,1,NA,2,11.29.23,0.86,1
2,1,3,2021,Y,1,NA,3,11.29.23,0.86,1
2,1,3,2021,Y,1,NA,4,11.29.23,0.86,1
2,1,3,2021,Y,1,NA,5,11.29.23,0.86,1
2,1,3,2021,Y,1,NA,6,11.29.23,0.86,1
2,2,3,2021,Y,1,NA,1,11.29.23,0.86,1
2,2,3,2021,Y,1,NA,2,11.29.23,0.86,1
2,2,3,2021,Y,1,NA,3,11.29.23,0.86,1
2,2,3,2021,Y,1,NA,4,11.29.23,0.86,1
2,2,3,2021,Y,1,NA,5,11.29.23,0.86,1
2,2,3,2021,Y,1,NA,6,11.29.23,0.86,1
2,3,3,2021,Y,1,NA,1,11.29.23,0.86,1
2,3,3,2021,Y,1,NA,2,11.29.23,0.86,1
2,3,3,2021,Y,1,NA,3,11.29.23,0.86,1
2,3,3,2021,Y,1,NA,4,11.29.23,0.86,1
2,3,3,2021,Y,1,NA,5,11.29.23,0.86,1
2,3,3,2021,Y,1,NA,6,11.29.23,0.86,1
2,4,3,2021,Y,1,NA,1,11.29.23,0.86,1
2,4,3,2021,Y,1,NA,2,11.29.23,0.86,1
2,4,3,2021,Y,1,NA,3,11.29.23,0.86,1
2,4,3,2021,Y,1,NA,4,11.29.23,0.86,1
2,4,3,2021,Y,1,NA,5,11.29.23,0.86,1
2,4,3,2021,Y,1,NA,6,11.29.23,0.86,1
2,5,3,2021,N,1,NA,1,11.29.23,0.86,1
2,5,3,2021,N,1,NA,2,11.29.23,0.86,1
2,5,3,2021,N,1,NA,3,11.29.23,0.86,1
2,5,3,2021,N,1,NA,4,11.29.23,0.86,1
2,5,3,2021,N,1,NA,5,11.29.23,0.86,1
2,5,3,2021,N,1,NA,6,11.29.23,0.86,1
2,6,3,2021,N,1,NA,1,11.29.23,0.86,1
2,6,3,2021,N,1,NA,2,11.29.23,0.86,1
2,6,3,2021,N,1,NA,3,11.29.23,0.86,1
2,6,3,2021,N,1,NA,4,11.29.23,0.86,1
2,6,3,2021,N,1,NA,5,11.29.23,0.86,1
2,6,3,2021,N,1,NA,6,11.29.23,0.86,1
2,7,3,2021,N,1,NA,1,11.29.23,0.86,1
2,7,3,2021,N,1,NA,2,11.29.23,0.86,1
2,7,3,2021,N,1,NA,3,11.29.23,0.86,1
2,7,3,2021,N,1,NA,4,11.29.23,0.86,1
2,7,3,2021,N,1,NA,5,11.29.23,0.86,1
2,7,3,2021,N,1,NA,6,11.29.23,0.86,1
2,8,3,2021,N,1,NA,1,11.29.23,0.86,1
2,8,3,2021,N,1,NA,2,11.29.23,0.86,1
2,8,3,2021,N,1,NA,3,11.29.23,0.86,1
2,8,3,2021,N,1,NA,4,11.29.23,0.86,1
2,8,3,2021,N,1,NA,5,11.29.23,0.86,1
2,8,3,2021,N,1,NA,6,11.29.23,0.86,1
2,9,3,2021,N,1,NA,1,11.30.23,0.36,1
2,9,3,2021,N,1,NA,2,11.30.23,0.36,1
2,9,3,2021,N,1,NA,3,11.30.23,0.36,1
2,9,3,2021,N,1,NA,4,11.30.23,0.36,1
2,9,3,2021,N,1,NA,5,11.30.23,0.36,1
2,9,3,2021,N,1,NA,6,11.30.23,0.36,1
2,10,3,2021,N,1,NA,1,11.29.23,0.86,1
2,10,3,2021,N,1,NA,2,11.29.23,0.86,1
2,10,3,2021,N,1,NA,3,11.29.23,0.86,1
2,10,3,2021,N,1,NA,4,11.29.23,0.86,1
2,10,3,2021,N,1,NA,5,11.29.23,0.86,1
2,10,3,2021,N,1,NA,6,11.29.23,0.86,1
2,11,3,2021,N,1,NA,1,11.29.23,0.86,1
2,11,3,2021,N,1,NA,2,11.29.23,0.86,1
2,11,3,2021,N,1,NA,3,11.29.23,0.86,1
2,11,3,2021,N,1,NA,4,11.29.23,0.86,1
2,11,3,2021,N,1,NA,5,11.29.23,0.86,1
2,11,3,2021,N,1,NA,6,11.29.23,0.86,1
2,11,3,2021,N,1,NA,1,U3,-0.74,1
2,11,3,2021,N,1,NA,2,U3,-0.74,1
2,11,3,2021,N,1,NA,3,U3,-0.74,1
2,11,3,2021,N,1,NA,4,U3,-0.74,1
2,11,3,2021,N,1,NA,5,U3,-0.74,1
2,11,3,2021,N,1,NA,6,U3,-0.74,1
2,11,3,2021,N,1,NA,7,U3,-0.74,1
2,12,3,2021,N,1,NA,1,11.29.23,0.86,1
2,12,3,2021,N,1,NA,2,11.29.23,0.86,1
2,12,3,2021,N,1,NA,3,11.29.23,0.86,1
2,12,3,2021,N,1,NA,4,11.29.23,0.86,1
2,12,3,2021,N,1,NA,5,11.29.23,0.86,1
